image,type,duration
/Users/mac/Desktop/0_Solo/flowerc6.jpg,colour,0.8
/Users/mac/Desktop/0_Solo/landscapebw5.jpg,bnw,0.533
/Users/mac/Desktop/0_Solo/rockc4.jpg,colour,0.05
/Users/mac/Desktop/0_Solo/mmc3.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/flowerc2.jpg,colour,0.4
/Users/mac/Desktop/0_Solo/flowerbw4.jpg,bnw,0.2
/Users/mac/Desktop/0_Solo/landscapec3.jpg,colour,0.533
/Users/mac/Desktop/0_Solo/mmbw2.jpg,bnw,0.05
/Users/mac/Desktop/0_Solo/rockbw6.jpg,bnw,0.4
/Users/mac/Desktop/0_Solo/mmc6.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/landscapebw2.jpg,bnw,0.8
/Users/mac/Desktop/0_Solo/flowerc5.jpg,colour,0.2
/Users/mac/Desktop/0_Solo/rockbw1.jpg,bnw,0.4
/Users/mac/Desktop/0_Solo/mmc1.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/landscapebw4.jpg,bnw,0.2
/Users/mac/Desktop/0_Solo/flowerbw2.jpg,bnw,0.533
/Users/mac/Desktop/0_Solo/rockc1.jpg,colour,0.8
/Users/mac/Desktop/0_Solo/mmbw4.jpg,bnw,0.05
/Users/mac/Desktop/0_Solo/landscapec6.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/mmc4.jpg,colour,0.05
/Users/mac/Desktop/0_Solo/rockc5.jpg,colour,0.2
/Users/mac/Desktop/0_Solo/landscapebw1.jpg,bnw,0.8
/Users/mac/Desktop/0_Solo/flowerbw5.jpg,bnw,0.533
/Users/mac/Desktop/0_Solo/landscapec4.jpg,colour,0.4
/Users/mac/Desktop/0_Solo/mmbw6.jpg,bnw,0.533
/Users/mac/Desktop/0_Solo/rockc6.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/flowerbw1.jpg,bnw,0.2
/Users/mac/Desktop/0_Solo/landscapec5.jpg,colour,0.4
/Users/mac/Desktop/0_Solo/flowerc4.jpg,colour,0.05
/Users/mac/Desktop/0_Solo/rockbw4.jpg,bnw,0.8
/Users/mac/Desktop/0_Solo/mmbw1.jpg,bnw,0.4
/Users/mac/Desktop/0_Solo/rockc2.jpg,colour,0.533
/Users/mac/Desktop/0_Solo/flowerc1.jpg,colour,0.8
/Users/mac/Desktop/0_Solo/landscapec1.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/mmc5.jpg,colour,0.2
/Users/mac/Desktop/0_Solo/flowerc3.jpg,colour,0.05
/Users/mac/Desktop/0_Solo/rockc3.jpg,colour,1.067
/Users/mac/Desktop/0_Solo/rockbw2.jpg,bnw,0.8
/Users/mac/Desktop/0_Solo/landscapebw6.jpg,bnw,0.533
/Users/mac/Desktop/0_Solo/flowerbw6.jpg,bnw,0.2
/Users/mac/Desktop/0_Solo/landscapec2.jpg,colour,0.4
/Users/mac/Desktop/0_Solo/rockbw5.jpg,bnw,0.05
/Users/mac/Desktop/0_Solo/landscapebw3.jpg,bnw,0.533
/Users/mac/Desktop/0_Solo/flowerbw3.jpg,bnw,0.4
/Users/mac/Desktop/0_Solo/rockbw3.jpg,bnw,1.067
/Users/mac/Desktop/0_Solo/mmbw5.jpg,bnw,0.2
/Users/mac/Desktop/0_Solo/mmc2.jpg,colour,0.8
/Users/mac/Desktop/0_Solo/landscapebw2.jpg,bnw,0.05
